author,year,Isotropy,regularity_x,regularity_y,Le_rel,p_periodic,dimension,type,mtype,hassdf
dakos,2011,isotropic,2.686432,0.4169781,7.088,0.00113660097122192,2,model,homogeneous,1
valentin,1999,anisotropic,1.05512,0.39929,7.27972902717424,0.960753798484802,2,nature,,1
valentin,1999,anisotropic,0.8267516,0.5414774,6.86327824697547,0.276097774505615,2,nature,,1
sun,2022,isotropic,1.34017,0.5881262,5.28746502723603,0.131872951984406,2,model,homogeneous,1
sun,2022,isotropic,3.253798,2.307925,8.81357561566598,0.005,2,model,homogeneous,1
sun,2022,isotropic,1.916639,10.2846,7.0481815701566,0.0632480382919312,2,model,homogeneous,1
sun,2022,isotropic,2.608944,10.2846,7.93324438225677,0.254170119762421,2,model,homogeneous,1
pringle,2010,isotropic,0.6150176,2.215071,16.8036027690566,0.349938809871674,2,nature,,1
weerman,2010,anisotropic,0.3186228,NaN,23.7462286633,0.00877857208251953,2,nature,,1
weerman,2010,anisotropic,0.0807367,0.5395274,4.41113449785199,0.991452038288116,2,nature,,1
weerman,2010,anisotropic,0.1706824,0.7881193,5.31421773718515,0.398953974246979,2,nature,,1
heide,2010,anisotropic,0.3117703,0.9368491,19.2817681422467,0.63800036907196,2,nature,,1
heide,2010,anisotropic,0.8856742,1.252608,4.28965028840015,0.862948417663574,2,model,homogeneous,1
karig,2018,isotropic,0.292753,0.4854169,2.57907518120414,0.0394746065139771,2,nature,,1
karig,2018,isotropic,2.564378,0.4606338,4.42931118324586,0.005,2,model,homogeneous,1
karig,2018,isotropic,1.098979,0.5487844,7.97274158075811,0.347830474376678,2,model,homogeneous,1
siero,2015,anisotropic,13.15572,0.7380956,14.1759830504316,0,2,model,homogeneous,1
siero,2015,isotropic,9.380094,0.7127662,14.176,0,2,model,homogeneous,1
siero,2015,anisotropic,4.067385,0.5439078,11.4743951663165,0.0545315742492676,2,model,homogeneous,1
siero,2015,anisotropic,4.601447,0.5402829,9.73599848437828,0.005,2,model,homogeneous,1
siero,2015,anisotropic,8.807314,0.5447637,9.74590717066815,0.005,2,model,homogeneous,1
bonachela,2015,isotropic,0.5656441,0.5057802,14.2298586597363,0.42045259475708,2,nature,,1
bonachela,2015,isotropic,0.8024071,0.4196963,16.7474558894649,0.940542995929718,2,nature,,1
bonachela,2015,isotropic,0.05225202,0.4882406,0.771738423404742,0.747370719909668,2,nature,,1
bonachela,2015,isotropic,0.02963184,2.271431,1.40000912463937,0.548511207103729,2,nature,,1
bonachela,2015,isotropic,2.316665,2.913664,11.5174598993816,0.0882413983345032,2,model,homogeneous,1
bonachela,2015,isotropic,4.075966,0.9945834,12.404,0.145055174827576,2,model,homogeneous,1
